viewer_id,age_group,gender,city,country,subscription_type,joined_date,preferred_genre,preferred_platform,is_active
41,35-44,Non-binary,Tokyo,Various,Free,2023-11-15,Action,SmartTV,0
42,25-34,Female,Delhi,India,Free,2022-04-20,Romance,TabletApp,1
43,55+,Male,Chennai,India,Premium,2022-07-28,Romance,SmartTV,1
44,18-24,Male,Chennai,India,Family,2024-04-29,Comedy,StreamMax,1
45,25-34,Non-binary,Singapore,Various,Premium,2022-06-15,Romance,WebBrowser,1
46,55+,Male,Los Angeles,Various,Free,2022-03-19,Romance,MobileApp,1
47,35-44,Non-binary,Toronto,Various,Basic,2023-03-17,Drama,StreamMax,1
48,18-24,Female,Berlin,Various,Basic,2023-11-30,Drama,StreamMax,1
49,45-54,Non-binary,Tokyo,Various,Basic,2022-08-31,Drama,MobileApp,0
50,25-34,Non-binary,Mumbai,India,Premium,2024-03-12,Thriller,MobileApp,1
51,18-24,Female,Singapore,Various,Free,2024-05-29,Thriller,MobileApp,1
52,45-54,Female,Berlin,Various,Premium,2024-04-20,Drama,MobileApp,1
53,45-54,Female,Hyderabad,India,Premium,2022-03-13,Comedy,SmartTV,1
54,55+,Female,Los Angeles,Various,Free,2022-04-29,Comedy,MobileApp,1
55,18-24,Male,Chennai,India,Family,2022-12-20,Romance,SmartTV,1
56,18-24,Female,Tokyo,Various,Basic,2022-09-18,Sci-Fi,WebBrowser,1
57,55+,Non-binary,Berlin,Various,Basic,2023-01-08,Thriller,StreamMax,0
58,35-44,Non-binary,Berlin,Various,Premium,2023-11-11,Sci-Fi,SmartTV,1
59,45-54,Female,Paris,Various,Family,2023-12-15,Comedy,TabletApp,1
60,45-54,Non-binary,Los Angeles,Various,Basic,2023-09-23,Action,SmartTV,1
61,18-24,Female,Toronto,Various,Premium,2022-08-04,Thriller,TabletApp,1
62,45-54,Female,New York,Various,Family,2023-11-23,Drama,TabletApp,1
63,25-34,Non-binary,Berlin,Various,Free,2022-10-18,Action,TabletApp,1
64,25-34,Non-binary,Toronto,Various,Premium,2022-08-19,Drama,MobileApp,1
65,45-54,Non-binary,Hyderabad,India,Free,2023-04-12,Thriller,TabletApp,1
66,45-54,Female,Dubai,Various,Family,2022-09-07,Drama,StreamMax,0
67,18-24,Female,Toronto,Various,Basic,2022-06-30,Romance,TabletApp,1
68,25-34,Male,Tokyo,Various,Family,2022-05-17,Thriller,TabletApp,0
69,35-44,Female,Sydney,Various,Family,2024-04-30,Action,WebBrowser,0
70,45-54,Female,Dubai,Various,Premium,2024-02-09,Drama,SmartTV,1
71,45-54,Non-binary,Tokyo,Various,Basic,2022-10-09,Thriller,StreamMax,1
72,35-44,Female,Hyderabad,India,Premium,2023-07-08,Sci-Fi,MobileApp,1
73,25-34,Non-binary,Los Angeles,Various,Basic,2022-03-07,Thriller,WebBrowser,1
74,45-54,Male,London,Various,Basic,2024-05-02,Thriller,WebBrowser,0
75,18-24,Non-binary,Sydney,Various,Family,2023-05-04,Sci-Fi,SmartTV,1
76,45-54,Non-binary,Los Angeles,Various,Basic,2023-05-15,Drama,SmartTV,1
77,45-54,Female,Mumbai,India,Family,2024-01-12,Drama,WebBrowser,0
78,55+,Male,Sydney,Various,Family,2023-08-30,Action,StreamMax,1
79,25-34,Female,Los Angeles,Various,Basic,2022-02-21,Comedy,WebBrowser,1
80,35-44,Female,London,Various,Family,2022-10-12,Thriller,SmartTV,1
81,18-24,Non-binary,London,Various,Free,2022-12-25,Drama,StreamMax,1
82,18-24,Male,Paris,Various,Basic,2022-07-24,Sci-Fi,TabletApp,1
83,45-54,Non-binary,Bangalore,India,Free,2023-08-01,Drama,WebBrowser,1
84,35-44,Male,Singapore,Various,Free,2024-03-07,Drama,SmartTV,1
85,35-44,Non-binary,Mumbai,India,Family,2023-02-11,Romance,MobileApp,1
86,25-34,Male,Dubai,Various,Premium,2024-05-20,Romance,TabletApp,1
87,55+,Male,Singapore,Various,Premium,2023-06-30,Thriller,SmartTV,1
88,35-44,Male,Paris,Various,Family,2024-04-22,Thriller,StreamMax,1
89,45-54,Non-binary,New York,Various,Basic,2023-03-22,Drama,TabletApp,0
90,55+,Non-binary,Chennai,India,Family,2023-04-22,Thriller,TabletApp,1
91,25-34,Male,Toronto,Various,Premium,2023-04-07,Drama,WebBrowser,1
92,45-54,Female,Paris,Various,Free,2023-05-22,Comedy,MobileApp,1
93,35-44,Female,New York,Various,Premium,2023-09-03,Romance,SmartTV,1
94,25-34,Male,Tokyo,Various,Basic,2024-01-08,Thriller,WebBrowser,1
95,45-54,Non-binary,Hyderabad,India,Family,2023-04-04,Sci-Fi,StreamMax,1
96,25-34,Female,Los Angeles,Various,Premium,2023-04-30,Action,TabletApp,1
97,55+,Female,Dubai,Various,Premium,2023-12-21,Thriller,SmartTV,1
98,18-24,Non-binary,Hyderabad,India,Basic,2022-11-20,Sci-Fi,TabletApp,0
99,25-34,Male,Dubai,Various,Basic,2024-01-27,Thriller,SmartTV,1
100,55+,Non-binary,Singapore,Various,Premium,2022-04-13,Drama,SmartTV,1
101,35-44,Male,Bangalore,India,Basic,2022-10-08,Sci-Fi,StreamMax,1
102,25-34,Non-binary,Dubai,Various,Family,2022-04-16,Sci-Fi,TabletApp,1
103,45-54,Female,London,Various,Basic,2022-02-22,Comedy,WebBrowser,1
104,45-54,Female,Delhi,India,Free,2023-08-14,Romance,StreamMax,1
105,55+,Female,Singapore,Various,Free,2022-09-12,Sci-Fi,TabletApp,1
106,55+,Non-binary,Sydney,Various,Basic,2024-03-05,Action,WebBrowser,1
107,35-44,Non-binary,London,Various,Family,2022-11-09,Action,TabletApp,1
108,18-24,Male,Dubai,Various,Basic,2022-09-28,Romance,StreamMax,1
109,55+,Male,Bangalore,India,Basic,2022-01-03,Thriller,WebBrowser,1
110,35-44,Male,London,Various,Basic,2022-10-23,Romance,SmartTV,1
111,18-24,Non-binary,London,Various,Basic,2022-09-28,Romance,TabletApp,1
112,25-34,Female,Berlin,Various,Free,2023-07-12,Drama,MobileApp,0
113,25-34,Male,Toronto,Various,Free,2022-06-19,Comedy,TabletApp,1
114,35-44,Female,Sydney,Various,Free,2023-04-25,Romance,SmartTV,1
115,55+,Non-binary,Chennai,India,Family,2023-03-25,Sci-Fi,TabletApp,1
116,35-44,Non-binary,Los Angeles,Various,Premium,2022-01-27,Sci-Fi,MobileApp,0
117,55+,Non-binary,Toronto,Various,Free,2024-02-23,Romance,SmartTV,1
118,25-34,Female,Singapore,Various,Family,2022-10-12,Drama,TabletApp,1
119,45-54,Male,Toronto,Various,Family,2022-12-23,Thriller,SmartTV,1
120,25-34,Female,Delhi,India,Family,2023-12-12,Thriller,SmartTV,1
121,55+,Male,Los Angeles,Various,Family,2022-04-01,Comedy,SmartTV,1
122,45-54,Non-binary,Singapore,Various,Free,2023-11-05,Action,WebBrowser,1
123,55+,Female,Hyderabad,India,Family,2023-10-03,Thriller,StreamMax,1
124,25-34,Female,Tokyo,Various,Family,2023-12-17,Thriller,StreamMax,1
125,55+,Male,Paris,Various,Basic,2022-11-15,Action,StreamMax,1
126,25-34,Male,Delhi,India,Family,2022-05-01,Romance,MobileApp,1
127,35-44,Non-binary,Dubai,Various,Premium,2023-03-02,Thriller,WebBrowser,1
128,25-34,Female,Tokyo,Various,Basic,2023-09-06,Action,MobileApp,0
129,45-54,Female,Chennai,India,Premium,2024-04-20,Sci-Fi,SmartTV,1
130,55+,Non-binary,Toronto,Various,Family,2022-06-02,Thriller,TabletApp,1
131,55+,Non-binary,New York,Various,Family,2023-04-12,Comedy,MobileApp,0
132,55+,Female,Hyderabad,India,Basic,2024-05-26,Thriller,StreamMax,1
133,45-54,Female,London,Various,Basic,2023-05-23,Sci-Fi,MobileApp,1
134,35-44,Male,Sydney,Various,Family,2022-04-13,Action,WebBrowser,1
135,45-54,Non-binary,Bangalore,India,Basic,2022-03-18,Thriller,SmartTV,1
136,45-54,Non-binary,Dubai,Various,Free,2024-05-22,Comedy,TabletApp,1
137,45-54,Non-binary,New York,Various,Free,2023-09-25,Sci-Fi,MobileApp,1
138,35-44,Male,Berlin,Various,Free,2023-03-21,Sci-Fi,StreamMax,1
139,35-44,Male,Dubai,Various,Free,2022-11-29,Sci-Fi,SmartTV,1
140,25-34,Male,Los Angeles,Various,Family,2023-08-03,Romance,MobileApp,1
141,55+,Female,Delhi,India,Basic,2023-05-25,Action,MobileApp,1
142,35-44,Female,Paris,Various,Premium,2023-11-14,Sci-Fi,WebBrowser,0
143,55+,Male,Paris,Various,Free,2023-03-29,Comedy,TabletApp,1
144,35-44,Female,Los Angeles,Various,Premium,2022-07-23,Thriller,WebBrowser,1
145,55+,Female,Los Angeles,Various,Premium,2023-12-18,Comedy,StreamMax,0
146,45-54,Female,Paris,Various,Free,2023-08-03,Romance,StreamMax,0
147,45-54,Female,Dubai,Various,Basic,2023-09-14,Comedy,MobileApp,1
148,35-44,Non-binary,Sydney,Various,Basic,2023-10-06,Sci-Fi,StreamMax,1
149,18-24,Non-binary,London,Various,Premium,2024-01-20,Drama,StreamMax,0
150,45-54,Male,New York,Various,Basic,2022-05-16,Action,SmartTV,1
151,35-44,Male,Berlin,Various,Premium,2024-04-24,Thriller,SmartTV,1
152,18-24,Female,New York,Various,Free,2022-05-25,Drama,WebBrowser,0
153,55+,Female,Singapore,Various,Free,2024-03-20,Thriller,StreamMax,1
154,45-54,Female,Delhi,India,Premium,2023-08-22,Thriller,SmartTV,1
155,45-54,Male,Hyderabad,India,Premium,2023-09-17,Drama,StreamMax,1
156,35-44,Non-binary,London,Various,Family,2022-04-30,Drama,StreamMax,0
157,45-54,Male,Chennai,India,Free,2022-08-29,Action,MobileApp,1
158,55+,Female,New York,Various,Basic,2023-03-01,Romance,StreamMax,1
159,45-54,Female,Sydney,Various,Free,2023-12-08,Comedy,MobileApp,1
160,35-44,Male,Hyderabad,India,Premium,2023-07-12,Romance,SmartTV,1
161,25-34,Male,Chennai,India,Family,2022-04-04,Romance,MobileApp,1
162,18-24,Male,Sydney,Various,Premium,2022-09-07,Drama,TabletApp,1
163,55+,Male,Toronto,Various,Basic,2024-04-12,Drama,SmartTV,1
164,55+,Male,Singapore,Various,Premium,2024-05-29,Drama,MobileApp,1
165,25-34,Male,Singapore,Various,Free,2022-05-15,Sci-Fi,SmartTV,1
166,55+,Female,Hyderabad,India,Free,2022-06-28,Comedy,StreamMax,1
167,55+,Male,Los Angeles,Various,Free,2023-05-03,Thriller,SmartTV,1
168,45-54,Non-binary,Delhi,India,Basic,2023-09-22,Sci-Fi,TabletApp,1
169,18-24,Male,Paris,Various,Family,2024-05-17,Thriller,WebBrowser,1
170,45-54,Male,London,Various,Free,2022-11-26,Action,MobileApp,1
171,55+,Non-binary,Chennai,India,Premium,2023-01-26,Action,TabletApp,1
172,55+,Female,Tokyo,Various,Free,2024-03-23,Romance,StreamMax,0
173,55+,Non-binary,Paris,Various,Basic,2023-03-17,Thriller,MobileApp,1
174,45-54,Female,Toronto,Various,Family,2024-01-18,Sci-Fi,SmartTV,1
175,35-44,Female,Paris,Various,Basic,2023-12-05,Thriller,StreamMax,1
176,18-24,Female,Delhi,India,Free,2024-02-02,Romance,SmartTV,1
177,18-24,Non-binary,Tokyo,Various,Premium,2023-11-18,Sci-Fi,WebBrowser,1
178,45-54,Non-binary,Paris,Various,Free,2022-10-22,Action,SmartTV,1
179,55+,Male,Sydney,Various,Basic,2023-11-04,Thriller,MobileApp,1
180,55+,Female,New York,Various,Free,2024-02-20,Comedy,TabletApp,1
181,55+,Non-binary,Los Angeles,Various,Free,2023-09-16,Romance,SmartTV,1
182,35-44,Female,Chennai,India,Premium,2022-01-07,Drama,MobileApp,1
183,18-24,Male,Los Angeles,Various,Free,2022-04-04,Romance,TabletApp,1
184,45-54,Female,Los Angeles,Various,Basic,2023-01-14,Comedy,SmartTV,1
185,55+,Male,Sydney,Various,Free,2022-06-09,Drama,TabletApp,1
186,35-44,Female,Delhi,India,Family,2023-05-13,Action,WebBrowser,1
187,55+,Male,Hyderabad,India,Premium,2023-03-17,Sci-Fi,SmartTV,1
188,45-54,Non-binary,Sydney,Various,Premium,2022-02-16,Drama,WebBrowser,0
189,18-24,Male,Mumbai,India,Premium,2022-08-05,Drama,SmartTV,1
190,18-24,Female,Delhi,India,Family,2022-06-29,Drama,WebBrowser,1
191,55+,Non-binary,Hyderabad,India,Premium,2022-03-15,Thriller,StreamMax,1
192,18-24,Female,London,Various,Family,2023-08-11,Thriller,WebBrowser,1
193,18-24,Female,Los Angeles,Various,Basic,2024-03-31,Action,WebBrowser,1
194,35-44,Male,Berlin,Various,Family,2024-05-14,Sci-Fi,MobileApp,1
195,55+,Male,Los Angeles,Various,Family,2022-11-14,Romance,SmartTV,1
196,25-34,Male,Singapore,Various,Free,2023-06-28,Action,MobileApp,0
197,35-44,Non-binary,New York,Various,Basic,2022-08-30,Sci-Fi,MobileApp,1
198,55+,Male,Bangalore,India,Free,2022-07-01,Romance,WebBrowser,1
199,55+,Female,Sydney,Various,Premium,2023-10-05,Comedy,MobileApp,1
200,45-54,Non-binary,London,Various,Premium,2024-03-26,Comedy,TabletApp,1
201,18-24,Female,Tokyo,Various,Family,2023-04-08,Sci-Fi,StreamMax,1
202,18-24,Non-binary,Chennai,India,Free,2023-09-22,Action,TabletApp,1
203,55+,Non-binary,Sydney,Various,Free,2023-04-06,Action,MobileApp,1
204,55+,Male,London,Various,Free,2023-04-07,Sci-Fi,SmartTV,0
205,55+,Non-binary,Delhi,India,Basic,2022-02-10,Drama,WebBrowser,0
206,55+,Non-binary,Tokyo,Various,Basic,2023-01-08,Comedy,SmartTV,1
207,35-44,Non-binary,Singapore,Various,Free,2024-03-19,Romance,SmartTV,1
208,55+,Non-binary,Delhi,India,Family,2022-10-18,Comedy,TabletApp,0
209,18-24,Non-binary,New York,Various,Basic,2022-12-25,Comedy,WebBrowser,1
210,18-24,Female,Dubai,Various,Family,2023-10-21,Comedy,MobileApp,1
211,55+,Male,Toronto,Various,Family,2023-06-05,Comedy,StreamMax,1
212,25-34,Female,Bangalore,India,Family,2022-07-16,Drama,MobileApp,1
213,18-24,Non-binary,Chennai,India,Free,2023-11-09,Comedy,TabletApp,1
214,25-34,Male,Los Angeles,Various,Basic,2024-05-01,Romance,TabletApp,1
215,45-54,Male,Bangalore,India,Family,2023-01-09,Romance,MobileApp,0
216,35-44,Non-binary,Sydney,Various,Family,2022-08-28,Action,MobileApp,1
217,45-54,Male,Singapore,Various,Premium,2023-11-26,Action,WebBrowser,1
218,45-54,Non-binary,Chennai,India,Family,2022-06-15,Drama,TabletApp,1
219,18-24,Non-binary,Chennai,India,Family,2023-01-16,Action,StreamMax,1
220,18-24,Female,Tokyo,Various,Free,2024-02-21,Drama,SmartTV,1
221,25-34,Female,Tokyo,Various,Free,2022-08-16,Thriller,SmartTV,0
222,18-24,Female,Los Angeles,Various,Premium,2022-08-30,Thriller,StreamMax,1
223,35-44,Male,Mumbai,India,Premium,2024-03-21,Drama,MobileApp,1
224,45-54,Non-binary,Berlin,Various,Basic,2024-02-17,Romance,WebBrowser,1
225,18-24,Male,Mumbai,India,Premium,2022-08-09,Drama,TabletApp,0
226,55+,Female,Sydney,Various,Free,2024-03-05,Comedy,MobileApp,1
227,25-34,Female,Mumbai,India,Family,2022-03-06,Sci-Fi,WebBrowser,1
228,55+,Non-binary,Mumbai,India,Basic,2024-01-06,Drama,SmartTV,1
229,35-44,Male,Sydney,Various,Family,2022-07-11,Romance,StreamMax,1
230,18-24,Non-binary,New York,Various,Free,2023-02-04,Thriller,StreamMax,1
231,35-44,Non-binary,New York,Various,Free,2023-01-01,Sci-Fi,SmartTV,1
232,18-24,Non-binary,Paris,Various,Premium,2022-05-17,Sci-Fi,SmartTV,1
233,25-34,Non-binary,Toronto,Various,Family,2023-12-14,Thriller,MobileApp,1
234,45-54,Male,Delhi,India,Premium,2022-07-26,Sci-Fi,MobileApp,0
235,35-44,Non-binary,New York,Various,Family,2024-04-14,Action,WebBrowser,1
236,25-34,Female,Singapore,Various,Premium,2024-06-01,Sci-Fi,SmartTV,1
237,35-44,Female,Singapore,Various,Family,2024-02-01,Thriller,WebBrowser,1
238,45-54,Non-binary,Bangalore,India,Family,2023-01-12,Action,SmartTV,1
239,45-54,Male,Dubai,Various,Family,2023-09-09,Drama,TabletApp,1
240,18-24,Female,Delhi,India,Premium,2022-11-10,Thriller,TabletApp,1
241,45-54,Female,Bangalore,India,Family,2022-02-13,Romance,SmartTV,1
242,35-44,Non-binary,Los Angeles,Various,Free,2022-03-18,Romance,WebBrowser,1
243,25-34,Male,Singapore,Various,Basic,2024-05-19,Action,WebBrowser,1
244,25-34,Non-binary,Delhi,India,Premium,2023-01-06,Thriller,TabletApp,1
245,45-54,Female,Bangalore,India,Premium,2023-03-31,Sci-Fi,TabletApp,1
246,45-54,Female,New York,Various,Premium,2022-09-13,Sci-Fi,StreamMax,1
247,55+,Female,London,Various,Free,2022-09-26,Comedy,WebBrowser,1
248,35-44,Non-binary,Sydney,Various,Family,2022-07-24,Sci-Fi,MobileApp,0
249,25-34,Non-binary,London,Various,Family,2022-03-31,Romance,SmartTV,1
250,18-24,Non-binary,Dubai,Various,Premium,2022-11-04,Drama,MobileApp,1
251,25-34,Male,Tokyo,Various,Basic,2024-03-22,Drama,MobileApp,1
252,35-44,Non-binary,Mumbai,India,Premium,2023-04-24,Action,MobileApp,1
253,18-24,Female,Delhi,India,Family,2024-01-05,Romance,WebBrowser,1
254,45-54,Non-binary,Singapore,Various,Free,2022-05-09,Comedy,StreamMax,1
255,55+,Female,Paris,Various,Basic,2024-04-28,Action,TabletApp,1
256,45-54,Non-binary,Bangalore,India,Free,2024-05-01,Sci-Fi,TabletApp,1
257,25-34,Female,Bangalore,India,Basic,2022-12-21,Action,SmartTV,1
258,25-34,Non-binary,Chennai,India,Premium,2022-05-09,Romance,SmartTV,1
259,55+,Non-binary,Delhi,India,Basic,2023-08-30,Action,MobileApp,1
260,55+,Female,Sydney,Various,Free,2024-04-25,Sci-Fi,StreamMax,1
261,55+,Female,Paris,Various,Basic,2024-02-25,Action,WebBrowser,1
262,45-54,Non-binary,Mumbai,India,Premium,2023-10-20,Comedy,WebBrowser,1
263,45-54,Female,Singapore,Various,Family,2022-03-16,Romance,StreamMax,1
264,45-54,Female,Los Angeles,Various,Basic,2022-12-15,Action,MobileApp,1
265,35-44,Non-binary,Dubai,Various,Premium,2023-02-13,Drama,SmartTV,1
266,35-44,Male,Delhi,India,Family,2022-05-06,Comedy,WebBrowser,1
267,18-24,Female,Delhi,India,Family,2023-09-23,Thriller,MobileApp,0
268,25-34,Female,Berlin,Various,Premium,2022-07-14,Drama,WebBrowser,0
269,45-54,Female,London,Various,Family,2022-01-24,Sci-Fi,WebBrowser,1
270,25-34,Non-binary,Hyderabad,India,Premium,2022-02-19,Sci-Fi,SmartTV,1
271,45-54,Female,Berlin,Various,Free,2024-05-17,Sci-Fi,WebBrowser,1
272,35-44,Female,Chennai,India,Premium,2022-02-16,Thriller,StreamMax,1
273,35-44,Non-binary,Hyderabad,India,Premium,2022-03-17,Thriller,TabletApp,1
274,35-44,Non-binary,Tokyo,Various,Free,2022-05-12,Sci-Fi,WebBrowser,1
275,55+,Female,New York,Various,Basic,2022-07-23,Action,TabletApp,1
276,18-24,Male,Mumbai,India,Basic,2024-01-01,Comedy,WebBrowser,1
277,55+,Non-binary,Bangalore,India,Basic,2022-12-02,Action,SmartTV,1
278,35-44,Non-binary,Sydney,Various,Premium,2023-06-04,Action,TabletApp,1
279,35-44,Female,Sydney,Various,Free,2023-01-13,Comedy,StreamMax,0
280,35-44,Non-binary,Sydney,Various,Free,2023-09-04,Thriller,SmartTV,0
281,55+,Non-binary,Singapore,Various,Basic,2024-01-09,Sci-Fi,TabletApp,1
282,55+,Female,Tokyo,Various,Basic,2024-04-21,Romance,MobileApp,1
283,18-24,Male,Dubai,Various,Free,2023-03-28,Comedy,WebBrowser,1
284,25-34,Female,Dubai,Various,Family,2024-05-18,Romance,StreamMax,1
285,25-34,Non-binary,Tokyo,Various,Premium,2023-11-10,Thriller,TabletApp,1
286,45-54,Non-binary,Bangalore,India,Premium,2023-07-14,Comedy,SmartTV,1
287,25-34,Female,Hyderabad,India,Premium,2022-08-19,Comedy,SmartTV,1
288,45-54,Female,Dubai,Various,Family,2022-12-24,Action,SmartTV,1
289,55+,Female,Sydney,Various,Family,2024-04-18,Comedy,MobileApp,1
290,18-24,Female,Chennai,India,Family,2023-11-03,Comedy,WebBrowser,1
291,55+,Female,Toronto,Various,Premium,2022-05-21,Sci-Fi,TabletApp,1
292,25-34,Male,Hyderabad,India,Basic,2023-10-16,Drama,StreamMax,1
293,45-54,Male,New York,Various,Basic,2022-01-06,Action,MobileApp,1
294,45-54,Female,Berlin,Various,Basic,2024-02-14,Comedy,SmartTV,1
295,18-24,Non-binary,Mumbai,India,Basic,2023-07-02,Romance,StreamMax,0
296,45-54,Male,Bangalore,India,Free,2024-05-06,Thriller,WebBrowser,1
297,35-44,Male,Dubai,Various,Free,2022-11-02,Action,TabletApp,1
298,35-44,Female,New York,Various,Family,2022-05-18,Action,WebBrowser,1
299,18-24,Female,Singapore,Various,Basic,2024-01-19,Thriller,SmartTV,1
300,35-44,Female,Mumbai,India,Basic,2022-06-29,Action,WebBrowser,1
301,35-44,Male,Tokyo,Various,Family,2023-11-17,Sci-Fi,MobileApp,0
302,35-44,Male,London,Various,Free,2022-09-25,Thriller,MobileApp,1
303,35-44,Female,Chennai,India,Free,2022-09-25,Romance,SmartTV,1
304,18-24,Female,Mumbai,India,Premium,2022-06-13,Thriller,TabletApp,0
305,35-44,Non-binary,Berlin,Various,Free,2023-10-17,Comedy,SmartTV,1
306,25-34,Female,Hyderabad,India,Basic,2023-04-11,Romance,TabletApp,1
307,55+,Female,Dubai,Various,Basic,2024-02-20,Drama,TabletApp,0
308,55+,Female,Delhi,India,Premium,2022-03-21,Action,StreamMax,1
309,55+,Male,Tokyo,Various,Basic,2022-06-18,Comedy,TabletApp,1
310,25-34,Non-binary,Paris,Various,Family,2022-04-04,Action,WebBrowser,1
311,25-34,Non-binary,London,Various,Family,2023-04-13,Action,StreamMax,1
312,35-44,Non-binary,Paris,Various,Free,2023-02-10,Comedy,StreamMax,1
313,18-24,Male,Sydney,Various,Family,2022-12-19,Romance,StreamMax,1
314,18-24,Female,Mumbai,India,Free,2022-10-21,Thriller,MobileApp,1
315,45-54,Female,Singapore,Various,Family,2023-04-05,Thriller,WebBrowser,1
316,55+,Male,Paris,Various,Premium,2022-05-02,Drama,TabletApp,1
317,25-34,Male,Bangalore,India,Free,2022-11-02,Thriller,TabletApp,1
318,25-34,Male,Los Angeles,Various,Family,2022-12-21,Drama,SmartTV,1
319,18-24,Male,Berlin,Various,Family,2023-09-22,Sci-Fi,MobileApp,1
320,55+,Male,Delhi,India,Family,2023-09-05,Romance,StreamMax,1
321,45-54,Female,Mumbai,India,Basic,2023-07-07,Drama,StreamMax,1
322,25-34,Non-binary,Chennai,India,Premium,2023-08-15,Action,SmartTV,1
323,25-34,Non-binary,Berlin,Various,Basic,2023-02-28,Comedy,SmartTV,1
324,25-34,Non-binary,Sydney,Various,Family,2023-07-24,Thriller,StreamMax,0
325,45-54,Non-binary,Paris,Various,Premium,2023-12-15,Thriller,WebBrowser,1
326,25-34,Non-binary,Los Angeles,Various,Family,2022-09-04,Drama,SmartTV,0
327,45-54,Male,Bangalore,India,Family,2023-03-03,Action,TabletApp,1
328,35-44,Male,Hyderabad,India,Premium,2023-10-25,Sci-Fi,WebBrowser,1
329,55+,Non-binary,Delhi,India,Basic,2022-02-22,Comedy,WebBrowser,1
330,18-24,Male,Sydney,Various,Basic,2024-04-03,Action,TabletApp,1
331,35-44,Female,Hyderabad,India,Free,2022-08-05,Drama,StreamMax,1
332,45-54,Male,Singapore,Various,Basic,2023-02-11,Drama,TabletApp,1
333,45-54,Female,Chennai,India,Premium,2022-11-12,Comedy,SmartTV,1
334,45-54,Male,London,Various,Family,2024-02-19,Comedy,MobileApp,1
335,18-24,Non-binary,Los Angeles,Various,Basic,2024-01-30,Drama,StreamMax,1
336,55+,Non-binary,Berlin,Various,Family,2022-10-30,Drama,MobileApp,1
337,55+,Male,Los Angeles,Various,Family,2023-07-18,Romance,SmartTV,1
338,45-54,Non-binary,Toronto,Various,Family,2023-04-17,Drama,SmartTV,1
